,precision,recall,f1-score,support
a,0.0,0.0,0.0,1.0
a lot,0.0,0.0,0.0,2.0
abdomen,0.0,0.0,0.0,1.0
able,0.0,0.0,0.0,1.0
about,0.0,0.0,0.0,3.0
above,0.0,0.0,0.0,3.0
accept,0.0,0.0,0.0,3.0
accident,0.08333333333333333,0.2,0.11764705882352941,5.0
accomplish,0.0,0.0,0.0,2.0
accountant,0.0,0.0,0.0,2.0
across,0.0,0.0,0.0,3.0
act,0.0,0.0,0.0,2.0
action,0.0,0.0,0.0,2.0
active,0.0,0.0,0.0,2.0
activity,0.0,0.0,0.0,2.0
actor,0.0,0.0,0.0,3.0
adapt,0.0,0.0,0.0,2.0
add,0.0,0.0,0.0,2.0
address,0.0,0.0,0.0,1.0
adjective,0.0,0.0,0.0,2.0
adjust,0.0,0.0,0.0,1.0
admire,0.0,0.0,0.0,2.0
admit,0.0,0.0,0.0,2.0
adopt,0.0,0.0,0.0,2.0
adult,0.0,0.0,0.0,3.0
advanced,0.0,0.0,0.0,2.0
advantage,0.0,0.0,0.0,1.0
adverb,0.0,0.0,0.0,2.0
affect,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
afraid,0.0,0.0,0.0,1.0
africa,0.0,0.0,0.0,3.0
after,0.0,0.0,0.0,2.0
afternoon,0.5,0.5,0.5,2.0
again,0.0,0.0,0.0,3.0
against,0.0,0.0,0.0,2.0
age,0.0,0.0,0.0,1.0
ago,0.0,0.0,0.0,2.0
agree,0.0,0.0,0.0,2.0
agreement,0.0,0.0,0.0,2.0
ahead,0.0,0.0,0.0,1.0
aid,0.5,1.0,0.6666666666666666,1.0
aim,0.0,0.0,0.0,3.0
airplane,0.0,0.0,0.0,3.0
alarm,0.0,0.0,0.0,2.0
alcohol,0.0,0.0,0.0,1.0
algebra,0.0,0.0,0.0,2.0
all,0.0,0.0,0.0,3.0
all day,0.0,0.0,0.0,1.0
allergy,0.0,0.0,0.0,4.0
alligator,0.0,0.0,0.0,2.0
accuracy,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.0380952380952381
macro avg,0.025,0.04066666666666666,0.030130718954248365,105.0
weighted avg,0.023015873015873014,0.0380952380952381,0.027824463118580764,105.0
